id,course_id,question_text,options,correct_answer,explanation,has_latex,difficulty_score,image_url,explanation_image_url
1331,1,"According to the course outline, what is the primary role of a topic sentence in a paragraph?","{""A"": ""To provide a minor supporting detail."", ""B"": ""To state the main idea of the paragraph."", ""C"": ""To introduce the author's personal opinion."", ""D"": ""To ensure the paragraph uses correct grammar.""}",To state the main idea of the paragraph.,"The topic sentence's main function is to state the paragraph's central idea, often referred to as the controlling idea, which guides the content of the rest of the paragraph.",False,1.2,,
1332,1,"What is the term for a group of people bound by a specialized use of language, such as lawyers or engineers?","{""A"": ""An academic community"", ""B"": ""A discourse community"", ""C"": ""A social club"", ""D"": ""A university sub-committee""}",A discourse community,"A discourse community is defined as a group bound by a specialized use of language and shared goals, where membership is based on qualification rather than birth.",False,1.0,,
1333,1,"In the context of academic writing features, what does it mean for writing to be 'evidential'?","{""A"": ""It must be based on the writer's personal feelings."", ""B"": ""It must be written in a formal style."", ""C"": ""Claims, opinions, and arguments must be supported with evidence."", ""D"": ""The writing must follow a clear and logical structure.""}","Claims, opinions, and arguments must be supported with evidence.","The feature 'evidential' means that all claims and arguments made in academic writing must be backed up by credible evidence, such as data, facts, statistics, or citations from experts.",False,1.2,,
1334,1,Which of the following represents an 'integral citation'?,"{""A"": ""The policy has received attention (Wong, 2009)."", ""B"": ""Wong (2009) points out that the policy has received attention."", ""C"": ""The policy has received attention [Wong, 2009]."", ""D"": ""The policy has received attention, according to one source.""}",Wong (2009) points out that the policy has received attention.,"An integral citation is one where the author's name is integrated into the grammatical structure of the sentence, as opposed to a non-integral citation which places the source in parentheses at the end.",False,1.44,,
1335,1,"The IMRAD structure, commonly used in scholarly articles, stands for:","{""A"": ""Introduction, Method, Results, Analysis, Discussion"", ""B"": ""Introduction, Method, Results, Abstract, Discussion"", ""C"": ""Introduction, Motivation, Research, Assessment, Delivery"", ""D"": ""Introduction, Main Idea, Rationale, Abstract, Details""}","Introduction, Method, Results, Abstract, Discussion","IMRAD is a standard structure for research articles and stands for Introduction, Method, Results, Abstract, and Discussion.",False,1.2,,
1336,1,A paragraph is said to have 'unity' when:,"{""A"": ""It contains at least five sentences."", ""B"": ""The ideas flow smoothly from one sentence to the next."", ""C"": ""It has been fully developed with enough examples."", ""D"": ""All sentences contribute to the development of a single controlling idea.""}",All sentences contribute to the development of a single controlling idea.,"Unity in a paragraph means that every sentence is directly related to and supports the single main idea, or controlling idea, without deviating to irrelevant topics.",False,1.44,,
1337,1,"According to the lecture notes, what is the key difference between Student Academic Writing and Expert Academic Writing?","{""A"": ""Student writing is informal, while expert writing is formal."", ""B"": ""Student writing is for assessment, while expert writing is intended for publication."", ""C"": ""Student writing does not require citations, while expert writing does."", ""D"": ""Student writing is always persuasive, while expert writing is descriptive.""}","Student writing is for assessment, while expert writing is intended for publication.","The notes distinguish the two by their purpose: Student Academic Writing is primarily a form of assessment and preparation, whereas Expert Academic Writing is created with the intention of being published in academic journals or books.",False,2.16,,
1338,1,"Using hedges, such as 'The evidence suggests...' or 'This could be caused by...', helps an academic writer achieve which feature?","{""A"": ""Precision"", ""B"": ""Formality"", ""C"": ""A balanced perspective"", ""D"": ""A critical tone""}",A balanced perspective,"Hedges are linguistic devices used to show caution and avoid making absolute statements. This helps in presenting a balanced view by acknowledging that claims can be challenged, which is a key aspect of academic writing.",False,2.4,,
1339,1,"Which of the following sentences correctly uses the past tense in the main clause followed by the past tense in the dependent clause, as per the rules of tense sequence?","{""A"": ""He succeeded because he always tries his best."", ""B"": ""He ate because he was hungry."", ""C"": ""We know that they will arrive soon."", ""D"": ""Since it is late, we are going to bed.""}",He ate because he was hungry.,Rule I for the sequence of tenses states that a past tense in the main clause ('ate') should be followed by a past tense in the dependent clause ('was').,False,1.8,,
1340,1,The main purpose of academic writing is to enable novice and expert writers to engage in a/an ___ on an academic subject.,"{""A"": ""argument"", ""B"": ""formal report"", ""C"": ""conversation"", ""D"": ""informal debate""}",conversation,"The lecture notes state that the key purpose of academic writing is to allow writers to join an ongoing 'conversation' on an academic topic, contributing their own research and findings.",False,1.2,,
1341,1,A sentence that adds more information or a supporting detail to a major support sentence is known as a:,"{""A"": ""Topic sentence"", ""B"": ""Controlling idea"", ""C"": ""Minor support sentence"", ""D"": ""Concluding sentence""}",Minor support sentence,"A minor support sentence does not directly support the topic sentence, but rather elaborates on or provides evidence for a major support sentence, thus indirectly helping to develop the controlling idea.",False,1.2,,
1342,1,What is the primary function of transitional words and phrases in a paragraph?,"{""A"": ""To increase the word count."", ""B"": ""To introduce new topics."", ""C"": ""To create a logical and smooth transition between sentences."", ""D"": ""To replace the need for a topic sentence.""}",To create a logical and smooth transition between sentences.,"Transitional words (e.g., 'However,' 'Therefore,' 'In addition') are linguistic devices used to link sentences and ideas, ensuring the paragraph is coherent and easy for the reader to follow.",False,1.2,,
1343,1,Which of the following is NOT listed as a quality of a good paragraph?,"{""A"": ""Unity"", ""B"": ""Complexity"", ""C"": ""Completeness"", ""D"": ""Coherence""}",Complexity,"The four main qualities/attributes of a good paragraph are Unity, Completeness (or Adequacy), Coherence, and Order. Complexity is not a required quality; clarity is preferred.",False,1.2,,
1344,1,"In academic writing, using the passive voice (e.g., 'The water was heated') rather than the active voice (e.g., 'I heated the water') contributes to which feature?","{""A"": ""Objectivity"", ""B"": ""Precision"", ""C"": ""Criticality"", ""D"": ""Formality""}",Objectivity,"The passive voice helps maintain objectivity by placing emphasis on the action and information rather than on the writer, which is a key characteristic of academic writing.",False,2.16,,
1345,1,The term 'collocation' refers to:,"{""A"": ""A list of academic vocabulary words."", ""B"": ""Words that are commonly and naturally used together."", ""C"": ""Informal words and expressions used in spoken English."", ""D"": ""The process of citing sources correctly.""}",Words that are commonly and naturally used together.,"Collocation describes words that frequently occur together, such as 'pray fervently' or 'drink responsibly'. Using correct collocations makes writing sound more natural and fluent.",False,1.2,,
1346,1,The process of preparing a written text for publication by correcting mistakes and making improvements is known as:,"{""A"": ""Referencing"", ""B"": ""Paraphrasing"", ""C"": ""Editing"", ""D"": ""Documenting""}",Editing,"Editing is the final stage of the writing process where the writer (or an editor) corrects errors in grammar, spelling, punctuation, and style to prepare the document for submission or publication.",False,1.0,,
1347,1,A 'controlling idea' is best described as:,"{""A"": ""The sentence that begins a paragraph."", ""B"": ""A list of all topics covered in an essay."", ""C"": ""The central idea or main point developed within a single paragraph."", ""D"": ""The author's personal bias.""}",The central idea or main point developed within a single paragraph.,"The controlling idea is the core concept of a paragraph, which limits the scope of the topic and guides the selection of all supporting details to ensure unity.",False,1.2,,
1348,1,Which method of paragraph development begins with a general statement and then provides specific details or examples?,"{""A"": ""Inductive method"", ""B"": ""Deductive method"", ""C"": ""Comparison and Contrast"", ""D"": ""Cause and Effect""}",Deductive method,"The deductive method of paragraph development starts with a general statement (often the topic sentence) and proceeds to provide specific, supporting details to prove or explain that statement.",False,1.44,,
1349,1,What is the recommended way to handle the title of an academic document like a thesis?,"{""A"": ""It should be written in sentence case."", ""B"": ""It should be written in CAPITALS and be brief and clear."", ""C"": ""It should include superfluous phrases like 'A report on...'."", ""D"": ""It should be decided after the abstract is written.""}",It should be written in CAPITALS and be brief and clear.,"The guidelines state that a thesis title should be written in all capitals, be stated briefly and clearly, and should avoid irrelevant or superfluous phrases.",False,1.2,,
1350,1,This dog always looks hearty and healthy. ___ food is always ready on time.,"{""A"": ""It's"", ""B"": ""I'ts"", ""C"": ""Its'"", ""D"": ""Its""}",Its,'Its' is the possessive form of 'it'. 'It's' is a contraction of 'it is'. The sentence requires the possessive form to show that the food belongs to the dog.,False,1.8,,
1351,1,"Gifty was given a plaque, inter alia, for being the valedictorian. This means that Gifty was:","{""A"": ""given only a plaque"", ""B"": ""given a lot of praises"", ""C"": ""given a plaque, among other things"", ""D"": ""given so much respect""}","given a plaque, among other things","The Latin phrase 'inter alia' means 'among other things'. Therefore, Gifty received a plaque in addition to other awards or honors.",False,1.5,,
1352,1,That textbook is Prof. Boadi's magnum opus among his several published works. This means the textbook is Prof. Boadi's:,"{""A"": ""greatest published work"", ""B"": ""first published work"", ""C"": ""last published work"", ""D"": ""most unpopular published work""}",greatest published work,The Latin phrase 'magnum opus' translates to 'great work' and is used to refer to an artist's or writer's most important or greatest achievement.,False,1.5,,
1353,1,The SRC executives always convene ad hoc meetings. This means the executives have:,"{""A"": ""Regular meetings"", ""B"": ""Irregular meetings"", ""C"": ""Impromptu meetings for a specific purpose"", ""D"": ""Well-informed meetings""}",Impromptu meetings for a specific purpose,"The Latin phrase 'ad hoc' means 'for this specific purpose'. An ad hoc meeting is one that is called to address a particular issue as it arises, rather than being regularly scheduled.",False,1.8,,
