id,course_id,question_text,options,correct_answer,explanation,has_latex,difficulty_score,image_url,explanation_image_url
1231,14,"What is the output of the following code involving a class variable modification?\n```python
class Test:
    x = 10

t1 = Test()
t2 = Test()
t1.x = 20

print(Test.x, t1.x, t2.x)
```","{""A"": ""10 20 10"", ""B"": ""20 20 20"", ""C"": ""10 20 20"", ""D"": ""10 10 10""}",10 20 10,"When `t1.x = 20` is executed, it creates a new *instance* attribute `x` for `t1` that shadows the class attribute. `Test.x` remains unchanged, and `t2.x` still accesses the original class attribute. Therefore, the output is the class attribute (10), t1's instance attribute (20), and t2's access to the class attribute (10).",True,3.24,https://adaptive-bot-assets-2021523152025.s3.eu-north-1.amazonaws.com/rendered-cache/b7664751c8c7_q.png,https://adaptive-bot-assets-2021523152025.s3.eu-north-1.amazonaws.com/rendered-cache/b7664751c8c7_e.png
1232,14,"Which special method is implicitly called when using the `in` keyword to check for membership, e.g., `if 'a' in my_object:`?","{""A"": ""`__in__`"", ""B"": ""`__hasitem__`"", ""C"": ""`__contains__`"", ""D"": ""`__member__`""}",`__contains__`,"The `in` operator is overloaded by the `__contains__(self, item)` special method. It should return `True` if `item` is in `self`, and `False` otherwise.",False,1.8,,
1233,14,What does the `@property` decorator allow you to do?,"{""A"": ""Create a read-only attribute."", ""B"": ""Define a method that can be accessed like an attribute (without parentheses)."", ""C"": ""Make an attribute private."", ""D"": ""Define a method that can only be called from within the class.""}",Define a method that can be accessed like an attribute (without parentheses).,"The `@property` decorator is used to create 'getter' methods. It allows a method to be accessed as if it were a regular attribute, hiding the method call syntax and allowing for computations or logic to be executed on access.",False,2.4,,
1234,14,"Consider the following code. What is the correct way to change the temperature to 32 degrees Celsius?\n```python
class Temperature:
    def __init__(self, celsius):
        self._celsius = celsius

    @property
    def fahrenheit(self):
        return self._celsius * 9/5 + 32

temp = Temperature(30)
```","{""A"": ""`temp.fahrenheit = 89.6`"", ""B"": ""`temp.celsius = 32`"", ""C"": ""`temp._celsius = 32`"", ""D"": ""It cannot be changed because `fahrenheit` is a read-only property.""}",`temp._celsius = 32`,"The code only defines a 'getter' for the `fahrenheit` property, making it read-only. To change the temperature, you must modify the underlying `_celsius` attribute directly. A more robust solution would involve defining a `@fahrenheit.setter`.",True,3.0,https://adaptive-bot-assets-2021523152025.s3.eu-north-1.amazonaws.com/rendered-cache/5df619db2984_q.png,https://adaptive-bot-assets-2021523152025.s3.eu-north-1.amazonaws.com/rendered-cache/5df619db2984_e.png
1235,14,"If `B` inherits from `A`, and `C` inherits from `B`, and all three classes define a method named `run()`, what will `super().run()` do when called from within `C`'s `run()` method?","{""A"": ""It will call `A.run()`."", ""B"": ""It will call `B.run()`."", ""C"": ""It will cause a `RecursionError`."", ""D"": ""It will cause a `SyntaxError`.""}",It will call `B.run()`.,"`super()` in class `C` will look up the Method Resolution Order (MRO) for `C` and call the `run` method from the next class in the chain, which is its direct parent, `B`.",False,2.16,,
1236,14,What is the 'diamond problem' in multiple inheritance?,"{""A"": ""When a class inherits from four parent classes."", ""B"": ""When two classes inherit from the same parent, and another class inherits from both of them, creating ambiguity in method resolution."", ""C"": ""A performance issue caused by deep inheritance chains."", ""D"": ""A problem related to inheriting private attributes.""}","When two classes inherit from the same parent, and another class inherits from both of them, creating ambiguity in method resolution.","The diamond problem occurs when a class (D) inherits from two classes (B and C) that both inherit from a single superclass (A). If a method in A is overridden by both B and C, it's ambiguous which version D should inherit. Python's MRO solves this deterministically.",False,3.6,,
1237,14,True or False: A class that inherits from another class is called a 'base class'.,"{""A"": ""True"", ""B"": ""False""}",False,False. The class that is being inherited from is the 'base class' or 'superclass'. The class that does the inheriting is the 'derived class' or 'subclass'.,False,1.0,,
1238,14,"What will the following code print?\n```python
class Person:
    def __init__(self, name):
        self.name = name

    def __eq__(self, other):
        return self.name == other.name

p1 = Person(""Alice"")
p2 = Person(""Alice"")
p3 = p1

print(p1 == p2, p1 is p3)
```","{""A"": ""False True"", ""B"": ""True True"", ""C"": ""True False"", ""D"": ""False False""}",True True,"The `==` operator calls the `__eq__` method, which compares the `name` attributes, so `p1 == p2` is `True`. The `is` operator checks for object identity (if they are the same object in memory). Since `p3` is an alias for `p1`, `p1 is p3` is also `True`.",True,3.24,https://adaptive-bot-assets-2021523152025.s3.eu-north-1.amazonaws.com/rendered-cache/b5529548b5da_q.png,https://adaptive-bot-assets-2021523152025.s3.eu-north-1.amazonaws.com/rendered-cache/b5529548b5da_e.png
1239,14,Which pair of special methods is essential for creating a class that acts as a context manager (used with the `with` statement)?,"{""A"": ""`__init__` and `__del__`"", ""B"": ""`__enter__` and `__exit__`"", ""C"": ""`__start__` and `__stop__`"", ""D"": ""`__open__` and `__close__`""}",`__enter__` and `__exit__`,"The `with` statement protocol is defined by the `__enter__` and `__exit__` methods. `__enter__` is called at the beginning of the `with` block for setup, and `__exit__` is called at the end for cleanup, even if exceptions occur.",False,2.4,,
1240,14,An abstract method defined in an Abstract Base Class (ABC) can have an implementation.,"{""A"": ""True"", ""B"": ""False""}",True,True. An abstract method can have an implementation. Subclasses can then use `super()` to call this implementation while still being required to provide their own override.,False,3.0,,
1241,14,What is the purpose of the `__del__` special method (destructor)?,"{""A"": ""To explicitly delete an object from memory."", ""B"": ""To be called by the `del` keyword."", ""C"": ""To perform cleanup actions just before an object is garbage collected."", ""D"": ""To prevent an object from being deleted.""}",To perform cleanup actions just before an object is garbage collected.,"`__del__` is not called by `del obj` (that just decrements the reference count). It is called by Python's garbage collector when an object's reference count reaches zero, allowing for final cleanup like closing files or network connections.",False,3.6,,
1242,14,What happens if an exception is raised inside a `with` block?,"{""A"": ""The program crashes immediately, and `__exit__` is not called."", ""B"": ""The `__exit__` method is called with details about the exception, and then the exception is re-raised unless `__exit__` returns `True`."", ""C"": ""The `__exit__` method is skipped, and the exception propagates."", ""D"": ""The `__enter__` method is called a second time to handle the error.""}","The `__exit__` method is called with details about the exception, and then the exception is re-raised unless `__exit__` returns `True`.","The `__exit__(self, exc_type, exc_value, traceback)` method is always called. If an exception occurred, its details are passed as arguments. This allows the context manager to clean up resources properly. If `__exit__` returns a truthy value, the exception is suppressed.",False,3.75,,
