id,course_id,question_text,options,correct_answer,explanation,has_latex,difficulty_score,image_url,explanation_image_url
661,4,Madame Oppong achète des jouets pour _ enfant.,"{""A"": ""son"", ""B"": ""ses"", ""C"": ""sa"", ""D"": ""s'""}",son,"The noun 'enfant' (child) is singular and begins with a vowel. To avoid a vowel clash (liaison), the masculine possessive adjective 'son' is used instead of 'sa', regardless of the child's gender. [12, 13, 23]",False,1.2,,
662,4,Tu dois dire au revoir à _ parents avant de partir.,"{""A"": ""son"", ""B"": ""tes"", ""C"": ""votre"", ""D"": ""leur""}",tes,"The subject pronoun is 'Tu' (you, informal), and the noun 'parents' is plural. Therefore, the possessive adjective must be the corresponding second-person singular form for a plural noun, which is 'tes' (your).",False,1.2,,
663,4,Quelle heure est-_?,"{""A"": ""il"", ""B"": ""elle"", ""C"": ""ils"", ""D"": ""tu""}",il,The correct expression for asking for the time is 'Quelle heure est-il?'. The impersonal pronoun 'il' is used in this fixed expression.,False,1.0,,
664,4,Elles vont _ des cahiers chez le libraire.,"{""A"": ""acheter"", ""B"": ""ach\u00e8tes"", ""C"": ""ach\u00e8te"", ""D"": ""ach\u00e8tent""}",acheter,"The verb 'aller' (to go) in the present tense is followed by the infinitive form of the main verb to create the 'futur proche' (near future) tense. Thus, 'acheter' is the correct form. [5, 9]",False,1.8,,
665,4,_ robe est chère. Je n'ai pas assez d'argent pour l'acheter.,"{""A"": ""Ces"", ""B"": ""Ce"", ""C"": ""Cet"", ""D"": ""Cette""}",Cette,"The noun 'robe' (dress) is a singular, feminine noun. The correct demonstrative adjective is 'cette', which is used before singular feminine nouns. [10, 21]",False,1.2,,
666,4,Kodjo a une voix _. il chante bien.,"{""A"": ""doux"", ""B"": ""douse"", ""C"": ""douce"", ""D"": ""s\u00e8che""}",douce,"The noun 'voix' (voice) is a feminine noun. The adjective must agree in gender, so the feminine form 'douce' (soft/sweet) is the correct choice. 'Doux' is the masculine form.",False,1.2,,
667,4,Vous parlez de _ vocation?,"{""A"": ""quelle"", ""B"": ""quelles"", ""C"": ""quel"", ""D"": ""quels""}",quelle,"The noun 'vocation' (vocation/calling) is a singular, feminine noun. The interrogative adjective must agree, making 'quelle' the correct option.",False,1.2,,
668,4,Rose est très _.,"{""A"": ""beau"", ""B"": ""beaux"", ""C"": ""belle"", ""D"": ""belles""}",belle,"The subject 'Rose' is a feminine name. The adjective must agree in gender, so the feminine form 'belle' is the correct choice. [2, 3]",False,1.0,,
669,4,Les géologues _ aux États-Unis l'année prochaine pour un séminaire.,"{""A"": ""ira"", ""B"": ""iras"", ""C"": ""iront"", ""D"": ""irons""}",iront,"The subject is 'Les géologues' (the geologists), which is a third-person plural subject. The verb 'aller' (to go) in the simple future tense conjugates to 'iront' for this subject.",False,1.8,,
670,4,Où se trouve _ grand arbre dont tu parles ?,"{""A"": ""cet"", ""B"": ""ce"", ""C"": ""ces"", ""D"": ""ces""}",cet,"The noun 'arbre' (tree) is a masculine singular noun that begins with a vowel. Therefore, the correct demonstrative adjective is 'cet'. [10, 22, 25]",False,1.5,,
671,4,Le chef cuisinier est très _.,"{""A"": ""comp\u00e9tent"", ""B"": ""comp\u00e9tentes"", ""C"": ""comp\u00e9tents"", ""D"": ""comp\u00e9tente""}",compétent,"The subject is 'Le chef cuisinier' (the male chef), which is a singular, masculine noun. The adjective 'compétent' (competent) must agree in gender and number, so the masculine singular form is correct. [4]",False,1.2,,
672,4,Les filles ont bien _ pendant la fête.,"{""A"": ""mang\u00e9"", ""B"": ""mang\u00e9es"", ""C"": ""mang\u00e9e"", ""D"": ""mang\u00e9s""}",mangé,"When the auxiliary verb is 'avoir' in the passé composé, the past participle 'mangé' (ate) does not agree with the subject. There is no direct object preceding the verb, so no agreement is needed.",False,1.8,,
673,4,_ sont les dossiers ?,"{""A"": ""Qui"", ""B"": ""O\u00f9"", ""C"": ""Quand"", ""D"": ""Que""}",Où,"The question asks about the location of the 'dossiers' (files), so the interrogative adverb 'Où' (where) is the correct choice.",False,1.0,,
674,4,_ travaille avec vous ?,"{""A"": ""O\u00f9"", ""B"": ""Quand"", ""C"": ""Que"", ""D"": ""Qui""}",Qui,The verb 'travaille' (works) implies a person is the subject. The interrogative pronoun 'Qui' (who) is used to ask about a person.,False,1.0,,
675,4,Les miniers _ le contrat le mois prochain.,"{""A"": ""finir"", ""B"": ""finissent"", ""C"": ""finira"", ""D"": ""finiront""}",finiront,"The subject is 'Les miniers' (the miners), which is a plural subject. The phrase 'le mois prochain' (next month) indicates the simple future tense. The correct conjugation of the verb 'finir' (to finish) in the future tense is 'finiront'.",False,1.8,,
676,4,"Quand tu trouveras cette lettre, je _ loin.","{""A"": ""serai"", ""B"": ""seras"", ""C"": ""sera"", ""D"": ""serez""}",serai,The subject pronoun is 'je' (I). The verb 'être' (to be) in the simple future tense conjugates to 'serai' for the first person singular.,False,1.5,,
677,4,Les enseignants vont _ au Japon.,"{""A"": ""enseigne"", ""B"": ""enseignent"", ""C"": ""enseigner"", ""D"": ""enseigneront""}",enseigner,"The verb 'aller' (to go) in the present tense is followed by the infinitive form of the main verb to create the 'futur proche' (near future) tense. Thus, 'enseigner' is the correct form. [18, 20]",False,1.8,,
678,4,"-Vous parlez à John et Racheal? - Oui, je _ parle.","{""A"": ""leur"", ""B"": ""lui"", ""C"": ""eux"", ""D"": ""les""}",leur,John and Racheal are the indirect objects of the verb 'parler' (parler à quelqu'un). They are plural. The indirect object pronoun for a plural third-person object is 'leur'.,False,2.4,,
679,4,Elles _ quand le train est arrivé.,"{""A"": ""dormait"", ""B"": ""dormais"", ""C"": ""dormaient"", ""D"": ""dormions""}",dormaient,"The subject pronoun is 'Elles' (they, feminine plural). The verb is in the 'imparfait' (imperfect past tense), as it describes a continuous action in the past interrupted by another action ('quand le train est arrivé'). The correct conjugation of 'dormir' (to sleep) is 'dormaient'.",False,2.4,,
680,4,"- Ils se sont (coucher) tôt ? - Non, ils _ tôt.","{""A"": ""ne se sont pas couch\u00e9es"", ""B"": ""ne se sont pas couch\u00e9s"", ""C"": ""ne se sont pas couch\u00e9"", ""D"": ""ne se sont pas couch\u00e9e""}",ne se sont pas couchés,"The subject is 'Ils' (they, masculine plural). 'Se coucher' is a reflexive verb, so it uses 'être' as the auxiliary in the passé composé, and the past participle agrees with the subject. The correct form is 'couchés'. When negated, 'ne' comes before the reflexive pronoun and 'pas' comes after the auxiliary verb.",False,2.88,,
681,4,C'est _ une rose.,"{""A"": ""belle"", ""B"": ""beau"", ""C"": ""belles"", ""D"": ""beaux""}",belle,The noun 'rose' (rose) is a feminine noun. The adjective 'belle' (beautiful) must agree in gender. The expression 'c'est' is followed by an adjective that agrees with the noun it describes.,False,1.2,,
682,4,"Céline est médecin et travaille _ Rio, _ Brésil.","{""A"": ""\u00e0 / au"", ""B"": ""en / au"", ""C"": ""au / en"", ""D"": ""\u00e0 / en""}",à / au,"The preposition 'à' is used before the name of a city (Rio). The preposition 'au' is used before the name of a masculine country that starts with a consonant (le Brésil). [6, 19, 24]",False,1.8,,
683,4,"John est ingénieur _ Renault, _ Chine.","{""A"": ""en / au"", ""B"": ""\u00e0 / en"", ""C"": ""chez / en"", ""D"": ""pour / en""}",chez / en,The preposition 'chez' is used to mean 'at' or 'for' a company (Renault). The preposition 'en' is used before the name of a feminine country (la Chine). [24],False,1.8,,
684,4,"Elizabeth travaille _ New York, _ une entreprise suédoise.","{""A"": ""\u00e0 / pour"", ""B"": ""en / \u00e0"", ""C"": ""chez / \u00e0"", ""D"": ""pour / \u00e0""}",à / pour,The preposition 'à' is used for a city (New York). The preposition 'pour' is used to indicate working for a company (une entreprise suédoise).,False,1.8,,
685,4,Les étudiants de UMaT vont _ Pays-Bas pour un colloque.,"{""A"": ""au"", ""B"": ""en"", ""C"": ""aux"", ""D"": ""\u00e0""}",aux,"'Pays-Bas' (Netherlands) is a plural country name (les Pays-Bas). The preposition 'aux' is used for plural countries. [6, 11]",False,1.5,,
686,4,Les géologues d'Ashanti Gold vont _ Iran.,"{""A"": ""au"", ""B"": ""\u00e0"", ""C"": ""en"", ""D"": ""aux""}",en,"Iran is a masculine country that begins with a vowel sound. The preposition 'en' is used for countries that start with a vowel, regardless of gender. [11, 16]",False,1.5,,
687,4,Les professeurs assisteront à un colloque _ Caire pour préparer une réunion _ Mexique l'année prochaine.,"{""A"": ""au / au"", ""B"": ""en / en"", ""C"": ""\u00e0 / au"", ""D"": ""au / en""}",au / au,"'Le Caire' (Cairo) is a masculine city that requires the article, so the preposition becomes 'au' (à + le). 'Mexique' (Mexico) is a masculine country, so the preposition 'au' is used. [6]",False,2.16,,
688,4,Vous _ la nouvelle collègue? (connaître),"{""A"": ""connais"", ""B"": ""connaissez"", ""C"": ""conna\u00eet"", ""D"": ""connaissons""}",connaissez,"The subject pronoun is 'Vous' (you, plural or formal singular). The present tense conjugation of 'connaître' (to know) for 'vous' is 'connaissez'.",False,1.0,,
689,4,Le directeur _ négocier les contrats. (savoir),"{""A"": ""sais"", ""B"": ""sait"", ""C"": ""savent"", ""D"": ""savez""}",sait,The subject 'Le directeur' (the director) is a third-person singular (il). The present tense conjugation of 'savoir' (to know how to) for 'il' is 'sait'.,False,1.0,,
690,4,Les étudiants de UMAT _ travailleurs. (être),"{""A"": ""sont"", ""B"": ""est"", ""C"": ""\u00eates"", ""D"": ""sommes""}",sont,"The subject is 'Les étudiants' (the students), which is third-person plural (ils). The present tense conjugation of 'être' (to be) for 'ils' is 'sont'.",False,1.0,,
691,4,Akua et Emmanuella _ bien la leçon du jour. (comprendre),"{""A"": ""comprends"", ""B"": ""comprend"", ""C"": ""comprenons"", ""D"": ""comprennent""}",comprennent,The subject 'Akua et Emmanuella' is third-person plural (elles). The present tense conjugation of 'comprendre' (to understand) for 'elles' is 'comprennent'.,False,1.0,,
692,4,Tu _ du couscous? (manger),"{""A"": ""mange"", ""B"": ""manges"", ""C"": ""mangent"", ""D"": ""mangez""}",manges,"The subject pronoun is 'Tu' (you, informal singular). The present tense conjugation of 'manger' (to eat) for 'tu' is 'manges'.",False,1.0,,
693,4,Je _ au marché. (aller),"{""A"": ""vais"", ""B"": ""va"", ""C"": ""vont"", ""D"": ""vas""}",vais,The subject pronoun is 'je' (I). The present tense conjugation of the irregular verb 'aller' (to go) for the first-person singular is 'vais'.,False,1.0,,
694,4,Nous _ français et anglais. (parler),"{""A"": ""parle"", ""B"": ""parles"", ""C"": ""parlons"", ""D"": ""parlent""}",parlons,The subject pronoun is 'nous' (we). The present tense conjugation of the verb 'parler' (to speak) for the first-person plural is 'parlons'.,False,1.0,,
695,4,Les étudiants _ leurs devoirs. (finir),"{""A"": ""finis"", ""B"": ""finit"", ""C"": ""finissons"", ""D"": ""finissent""}",finissent,The subject 'Les étudiants' (the students) is a third-person plural (ils). The present tense conjugation of the verb 'finir' (to finish) for the third-person plural is 'finissent'.,False,1.0,,
696,4,M. Mensah _ une grosse maison. (avoir),"{""A"": ""as"", ""B"": ""a"", ""C"": ""avons"", ""D"": ""avez""}",a,The subject 'M. Mensah' is a third-person singular (il). The present tense conjugation of the verb 'avoir' (to have) for the third-person singular is 'a'.,False,1.0,,
697,4,Madame Mahama _ Informaticienne. (être),"{""A"": ""est"", ""B"": ""sont"", ""C"": ""\u00eates"", ""D"": ""suis""}",est,The subject 'Madame Mahama' is a third-person singular (elle). The present tense conjugation of the verb 'être' (to be) for the third-person singular is 'est'.,False,1.0,,
698,4,Je te _ pour ton _.,"{""A"": ""remercie / message"", ""B"": ""appelle / message"", ""C"": ""d\u00e9sol\u00e9e / message"", ""D"": ""peux / message""}",remercie / message,"The phrase 'Je te remercie' means 'I thank you.' The context of the sentence, '... for your message', makes thanking the most logical action.",False,1.2,,
699,4,Je suis _ mais M. Dumenyah est _ pour le _.,"{""A"": ""d\u00e9sol\u00e9e / absent / moment"", ""B"": ""absent / d\u00e9sol\u00e9e / moment"", ""C"": ""d\u00e9sol\u00e9e / absent / r\u00e9union"", ""D"": ""absent / absent / moment""}",désolée / absent / moment,"This sentence forms a coherent message: 'Je suis désolée' (I am sorry), 'mais M. Dumenyah est absent' (but Mr. Dumenyah is absent), 'pour le moment' (for the moment).",False,1.2,,
700,4,Le boulanger _ du pain.,"{""A"": ""transporte"", ""B"": ""fabrique"", ""C"": ""vend"", ""D"": ""coupe""}",fabrique,"A baker's ('boulanger') primary role is to make ('fabrique') bread. While they also sell it, 'fabrique' describes the creation process.",False,1.0,,
701,4,Les ingénieurs utilisent _ pour creuser.,"{""A"": ""une scie"", ""B"": ""un couteau"", ""C"": ""un excavateur"", ""D"": ""une boisson""}",un excavateur,Engineers ('Les ingénieurs') use an 'excavateur' (excavator) for digging ('pour creuser'). The other options are illogical.,False,1.0,,
702,4,Le stylo sert à _.,"{""A"": ""transporter"", ""B"": ""couper"", ""C"": ""\u00e9crire"", ""D"": ""creuser""}",écrire,A pen ('le stylo') is used to write ('écrire').,False,1.0,,
703,4,_ voit avec un seul œil.,"{""A"": ""Le boulanger"", ""B"": ""Le borgne"", ""C"": ""Le plat"", ""D"": ""L'excavateur""}",Le borgne,"'Le borgne' is the specific vocabulary word for a one-eyed person, who 'sees with only one eye' ('voit avec un seul œil').",False,1.2,,
704,4,Les médecins soignent les malades _.,"{""A"": ""\u00e0 la banque"", ""B"": ""\u00e0 l'h\u00f4pital"", ""C"": ""au march\u00e9"", ""D"": ""chez le boulanger""}",à l'hôpital,Doctors ('Les médecins') treat sick people ('soignent les malades') at the hospital ('à l'hôpital').,False,1.0,,
705,4,Le chef du département dit : « Il est vingt-trois heures quarante-cinq. » Cela veut dire qu'il est _.,"{""A"": ""minuit moins le quart"", ""B"": ""midi moins le quart"", ""C"": ""midi et 45 minutes"", ""D"": ""midi et 15 minutes""}",minuit moins le quart,"In French, 'vingt-trois heures quarante-cinq' is the 24-hour format for 23:45, which is 11:45 PM. This is expressed colloquially as 15 minutes before midnight, or 'minuit moins le quart'.",False,1.8,,
706,4,Qu'est-ce que tu ________ quand le professeur est entré dans la classe ?,"{""A"": ""faisait"", ""B"": ""faisais"", ""C"": ""tu as fait"", ""D"": ""fais""}",faisais,The verb 'faire' is used here in the 'imparfait' tense to describe an ongoing action in the past ('What were you doing...') that was interrupted. 'Faisais' is the correct conjugation for the subject pronoun 'tu'.,False,2.4,,
707,4,Ces étudiantes sont souvent fatiguées. Elles viennent au cours ________-pied.,"{""A"": ""en"", ""B"": ""par"", ""C"": ""\u00e0"", ""D"": ""dans""}",à,The correct preposition to use for the fixed expression 'to walk' or 'on foot' is 'à pied'.,False,1.2,,
708,4,"Hier soir, Precious Cobbinah ________ avec son petit ami.","{""A"": ""a sorti"", ""B"": ""a sortie"", ""C"": ""est sortie"", ""D"": ""sortait""}",est sortie,"The verb 'sortir' is conjugated with the auxiliary verb 'être' in the passé composé when it means 'to go out'. The past participle 'sortie' must agree in gender and number with the subject, 'Precious Cobbinah' (feminine singular). [14, 30]",False,3.6,,
709,4,Je vole dans le ciel comme les oiseaux et je transporte des marchandises et des personnes. Qui suis-je ?,"{""A"": ""La voiture"", ""B"": ""L'avion"", ""C"": ""Le camion"", ""D"": ""Le train""}",L'avion,The description 'I fly in the sky like birds and I transport goods and people' refers to a plane ('l'avion').,False,1.2,,
710,4,Semiratu a raté le train. Elle doit aller au travail en ________ aujourd'hui.,"{""A"": ""cheval"", ""B"": ""trotinette"", ""C"": ""taxi"", ""D"": ""v\u00e9lo""}",taxi,"Since Semiratu missed her train, a taxi is a common and logical alternative mode of transportation to get to work.",False,1.2,,
711,4,"Allez-vous nettoyer la cour? Non, ________.","{""A"": ""nous allons la nettoyer"", ""B"": ""nous allons pas la nettoyer"", ""C"": ""nous ne pas allons la nettoyer"", ""D"": ""nous n'allons pas la nettoyer""}",nous n'allons pas la nettoyer,"This is a negative response. The correct structure for negation is 'ne...pas' surrounding the conjugated verb. For 'nous allons', the 'ne' becomes 'n'' before the vowel, resulting in 'nous n'allons pas'.",False,1.5,,
712,4,La directrice dit : « Je me couche souvent à vingt-deux heures cinquante-cinq. » Cela veut dire qu'elle se couche à...,"{""A"": ""10h45 du soir"", ""B"": ""10h55 du soir"", ""C"": ""9h35 du soir"", ""D"": ""8h55 du soir""}",10h55 du soir,"'Vingt-deux heures cinquante-cinq' translates to 22:55 in the 24-hour format, which is 10:55 PM ('10h55 du soir').",False,1.5,,
713,4,Ces ouvriers sont toujours ________ l'heure au travail.,"{""A"": ""par"", ""B"": ""sur"", ""C"": ""\u00e0"", ""D"": ""en""}",à,The correct fixed expression for 'on time' is 'à l'heure'.,False,1.2,,
714,4,"Il est dix-sept heures et demie selon ma montre. Autrement dit, il est ________.","{""A"": ""7h45 du soir"", ""B"": ""5h30 du soir"", ""C"": ""7h30 du matin"", ""D"": ""5h30 du matin""}",5h30 du soir,"'Dix-sept heures et demie' is 17:30 in the 24-hour format, which corresponds to 5:30 PM ('5h30 du soir').",False,1.5,,
715,4,Félicitations! Vous ________ l'examen.,"{""A"": ""\u00eates pass\u00e9"", ""B"": ""avez pass\u00e9"", ""C"": ""\u00eates pass\u00e9s"", ""D"": ""passiez""}",avez passé,"When the verb 'passer' means 'to take' or 'to pass' an exam (i.e., it has a direct object), it is conjugated with the auxiliary verb 'avoir'. The correct form for 'vous' is 'avez passé'. [14]",False,3.0,,
716,4,La nourriture ________ de Mademoiselle Abonkra est le fufu.,"{""A"": ""favorie"", ""B"": ""favorite"", ""C"": ""favori"", ""D"": ""favorites""}",favorite,"'Nourriture' is a feminine singular noun. Therefore, the adjective must also be in the feminine singular form, which is 'favorite'. [7]",False,1.2,,
717,4,Les professeurs de français se rencontrent à 11h45 au bureau du chef de département.,"{""A"": ""onze heures quarante-quatre"", ""B"": ""onze heures trente-cinq"", ""C"": ""dix heures quarante-cinq"", ""D"": ""midi moins quinze""}",midi moins quinze,"11:45 is colloquially expressed as 15 minutes before 12:00 (noon), which is 'midi moins quinze'.",False,1.5,,
718,4,"Quand nous ________ enfants, nous allions à l'école deux fois par jour.","{""A"": ""\u00e9taient"", ""B"": ""sommes"", ""C"": ""avons \u00e9t\u00e9"", ""D"": ""\u00e9tions""}",étions,The sentence describes a habitual state in the past ('when we were children...'). This requires the 'imparfait' tense. The correct conjugation of the verb 'être' for the subject 'nous' is 'étions'.,False,1.8,,
719,4,Vous ________ voir le Tour Eiffel en France ?,"{""A"": ""irai"", ""B"": ""irons"", ""C"": ""irez"", ""D"": ""iront""}",irez,The verb 'aller' (to go) is conjugated in the future tense ('futur simple'). 'Irez' is the correct form for the subject 'vous'.,False,1.5,,
