id,course_id,question_text,options,correct_answer,explanation,has_latex,difficulty_score,image_url,explanation_image_url
312,6,The breakdown mechanism in a lightly doped p-n junction under reverse biased condition is called,"{""A"": ""avalanche breakdown."", ""B"": ""zener breakdown."", ""C"": ""breakdown by tunnelling."", ""D"": ""high voltage breakdown.""}",0,"In lightly doped junctions, the depletion region is wide. A high reverse voltage accelerates minority carriers to high speeds. These carriers collide with atoms, knocking out new electron-hole pairs. These new carriers are also accelerated, creating an 'avalanche' of charge carriers and a sharp increase in reverse current.",False,3.6,,
313,6,"In a CE – connected transistor amplifier with voltage – gain $A_v$, the capacitance $C_{bc}$ is amplified by a factor","{""A"": ""$A_v$"", ""B"": ""$1+A_v$"", ""C"": ""$\\sqrt{1+A_v}$"", ""D"": ""$A_v^2$""}",1,"This is due to the Miller effect. In an inverting amplifier like the common-emitter configuration, the effective input capacitance is increased because the voltage swing at the collector end of the base-collector capacitor (Cbc) is Av times larger than and out of phase with the input voltage swing at the base. This multiplies the capacitive effect by a factor of (1 + Av).",True,1.8,https://adaptive-bot-assets-2021523152025.s3.eu-north-1.amazonaws.com/rendered-cache/basic_electronics_ae2cdf6de30a_q.png,https://adaptive-bot-assets-2021523152025.s3.eu-north-1.amazonaws.com/rendered-cache/basic_electronics_ae2cdf6de30a_e.png
314,6,"For a large values of $|V_{DS}|$, a FET – behaves as","{""A"": ""Voltage controlled resistor."", ""B"": ""Current controlled current source."", ""C"": ""Voltage controlled current source."", ""D"": ""Current controlled resistor.""}",2,"When the drain-to-source voltage (VDS) of a FET is increased beyond the pinch-off voltage, the drain current (ID) saturates and becomes nearly constant. The level of this constant current is controlled by the gate-to-source voltage (VGS). This is the definition of a voltage-controlled current source.",True,2.7,https://adaptive-bot-assets-2021523152025.s3.eu-north-1.amazonaws.com/rendered-cache/basic_electronics_07d516cb11be_q.png,https://adaptive-bot-assets-2021523152025.s3.eu-north-1.amazonaws.com/rendered-cache/basic_electronics_07d516cb11be_e.png
315,6,Removing bypass capacitor across the emitter-leg resistor in a CE amplifier causes,"{""A"": ""increase in current gain."", ""B"": ""decrease in current gain."", ""C"": ""increase in voltage gain."", ""D"": ""decrease in voltage gain.""}",3,"The emitter bypass capacitor provides a low-impedance path for AC signals to ground, maximizing voltage gain. Removing it introduces negative feedback (emitter degeneration), as the AC emitter current now develops a voltage across the emitter resistor that opposes the input signal. This stabilizes the amplifier but significantly reduces its voltage gain.",False,3.6,,
316,6,For an op-amp having differential gain $A_v$ and common-mode gain $A_c$ the CMRR is given by,"{""A"": ""$A_v + A_c$"", ""B"": ""$A_v/A_c$"", ""C"": ""$(A_v/A_c) + 1$"", ""D"": ""$A_c/A_v$""}",1,The Common-Mode Rejection Ratio (CMRR) is a key metric for an operational amplifier that measures its ability to amplify the difference between two input signals while rejecting signals that are common to both. It is defined as the ratio of the differential gain (Av) to the common-mode gain (Ac).,True,1.8,https://adaptive-bot-assets-2021523152025.s3.eu-north-1.amazonaws.com/rendered-cache/basic_electronics_f36f86aabc0f_q.png,https://adaptive-bot-assets-2021523152025.s3.eu-north-1.amazonaws.com/rendered-cache/basic_electronics_f36f86aabc0f_e.png
317,6,"When a step-input is given to an op-amp integrator, the output will be","{""A"": ""a ramp."", ""B"": ""a sinusoidal wave."", ""C"": ""a rectangular wave."", ""D"": ""a triangular wave with dc bias.""}",0,"An integrator performs the mathematical operation of integration. A step input is a constant voltage level. The integral of a constant is a linearly increasing (or decreasing) function, which is graphically represented as a ramp.",False,2.25,,
318,6,"Hysteresis is desirable in Schmitt-trigger, because","{""A"": ""energy is to be stored/discharged in parasitic capacitances."", ""B"": ""effects of temperature would be compensated."", ""C"": ""devices in the circuit should be allowed time for saturation and desaturation."", ""D"": ""it would prevent noise from causing false triggering.""}",3,"Hysteresis creates two separate switching thresholds—an upper trip point and a lower trip point. This prevents small noise fluctuations around a single threshold from causing the output to rapidly switch back and forth. The input must cross the entire gap between the two thresholds to change the output state, providing noise immunity.",False,2.16,,
319,6,"In a full-wave rectifier without filter, the ripple factor is","{""A"": ""0.482"", ""B"": ""1.21"", ""C"": ""1.79"", ""D"": ""2.05""}",0,"The ripple factor measures the amount of AC component (ripple) present in the rectified DC output. For a full-wave rectifier, the output frequency is double the input frequency, resulting in less ripple compared to a half-wave rectifier. The calculated theoretical value is approximately 0.482.",False,1.44,,
320,6,"A minterm of the Boolean-function, f(x, y, z) is","{""A"": ""x' + y + z"", ""B"": ""x y z'"", ""C"": ""x z"", ""D"": ""(y +z) x""}",1,"A minterm is a product (AND) term that contains every variable of the function exactly once, in either its true or complemented form. Option (B) is the only one that meets this definition for a three-variable function.",False,1.5,,
321,6,The minimum number of flip-flops required to construct a mod-75 counter is,"{""A"": ""5"", ""B"": ""6"", ""C"": ""7"", ""D"": ""8""}",2,"A counter built with 'n' flip-flops can have a maximum of 2^n unique states. To count 75 states (mod-75), we need to find the smallest 'n' such that 2^n is greater than or equal to 75. Since 2^6 = 64 (too small) and 2^7 = 128 (sufficient), a minimum of 7 flip-flops are needed.",False,2.16,,
322,6,Space charge region around a p-n junction,"{""A"": ""does not contain mobile carriers"", ""B"": ""contains both free electrons and holes"", ""C"": ""contains one type of mobile carriers depending on the level of doping of the p or n regions"", ""D"": ""contains electrons only as free carriers""}",0,"The space charge region, also called the depletion region, is formed by the diffusion of electrons and holes away from the junction. This leaves behind fixed, charged ions but depletes the area of mobile charge carriers (free electrons and holes).",False,1.2,,
